Folder Path,Number of Files Analyzed
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_16/Signed slides/Erythroblast,17
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_20/Signed slides/Smudge cells,17
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_73/10027006113/Signed slides/Segmented neutrophils,17
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_96/Signed slides/Segmented neutrophils,17
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_71/Signed slides/Lymphocyte,17
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_83/Signed slides/Lymphocyte,17
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_78/Signed slides/Blast, no lineage spec",17
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_80/10026231691/Signed slides/Segmented neutrophils,17
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_55/Signed slides/Smudge cells,17
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_84/2019-02-11_2108/Signed slides/Smudge cells,17
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_98/Signed slides/Lymphocyte, variant",17
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_05/Signed slides/Smudge cells,17
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_32/10026417885/Signed slides/Smudge cells,16
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_74/Signed slides/Monocyte,16
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_88/Signed slides/Segmented neutrophils,16
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_45/Signed slides/Monocyte,16
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_91/Signed slides/Promyelocyte,16
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_105/Signed slides/Blast, no lineage spec",16
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_16/Signed slides/Blast, no lineage spec",16
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_84/2019-02-11_1635/Signed slides/Promyelocyte,16
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_65/Signed slides/Smudge cells,16
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_54/Signed slides/Smudge cells,16
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_83/Signed slides/Blast, no lineage spec",15
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_78/Signed slides/Smudge cells,15
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_89/Signed slides/Smudge cells,15
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_07/Signed slides/Smudge cells,15
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_03/Signed slides/Smudge cells,15
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_60/2018-12-16_2346/Signed slides/Segmented neutrophils,15
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_89/Signed slides/Myelocyte,15
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_26/Signed slides/Smudge cells,15
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_44/Signed slides/Smudge cells,15
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_84/2019-02-11_1635/Signed slides/Monocyte,15
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_84/2019-02-11_1635/Signed slides/Lymphocyte,15
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_90/Signed slides/Blast, no lineage spec",15
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_86/Signed slides/Blast, no lineage spec",15
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_80/10026231691/Signed slides/Lymphocyte,15
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_73/10027006113/Signed slides/Blast, no lineage spec",15
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_50/Signed slides/Lymphocyte, variant",15
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_88/Signed slides/Lymphocyte,15
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_91/Signed slides/Unidentified,14
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_52/Signed slides/Smudge cells,14
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_36/Signed slides/Lymphocyte,14
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_73/10027006113/Signed slides/Smudge cells,14
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_84/2019-02-11_2108/Signed slides/Promyelocyte,14
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_32/10026417885/Signed slides/Lymphocyte,14
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_25/Signed slides/Blast, no lineage spec",14
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_46/Signed slides/Smudge cells,14
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_20/Signed slides/Metamyelocyte,14
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_75/Signed slides/Eosinophils,14
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_01/Signed slides/Smudge cells,14
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_46/Signed slides/Lymphocyte,14
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_84/2019-02-11_2108/Signed slides/Segmented neutrophils,14
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_70/Signed slides/Smudge cells,14
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_88/Signed slides/Monocyte,14
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_61/Signed slides/Smudge cells,14
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_68/Signed slides/Blast, no lineage spec",14
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_52/Signed slides/Segmented neutrophils,14
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_89/Signed slides/Segmented neutrophils,13
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_19/Signed slides/Smudge cells,13
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_60/2018-12-16_2346/Signed slides/Smudge cells,13
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_75/Signed slides/Blast, no lineage spec",13
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_101/Signed slides/Lymphocyte,13
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_39/10025983082/Signed slides/Promyelocyte,13
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_17/Signed slides/Lymphocyte,13
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_23/Signed slides/Smudge cells,13
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_89/Signed slides/Blast, no lineage spec",13
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_28/Signed slides/Smudge cells,13
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_82/Signed slides/Promyelocyte,13
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_36/Signed slides/Blast, no lineage spec",12
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_16/Signed slides/Lymphocyte, variant",12
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_93/Signed slides/Lymphocyte, variant",12
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_35/Signed slides/Smudge cells,12
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_27/Signed slides/Smudge cells,12
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_09/Signed slides/Promonocyte,12
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_90/Signed slides/Lymphocyte,12
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_94/Signed slides/Smudge cells,12
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_22/Signed slides/Smudge cells,12
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_59/10024110838_p/Signed slides/Thrombocyte aggregation,12
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_21/Signed slides/Lymphocyte,12
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_100/2019-04-30_1548/Signed slides/Smudge cells,12
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_87/Signed slides/Promyelocyte,12
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_67/Signed slides/Segmented neutrophils,12
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_00/Signed slides/Segmented neutrophils,12
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_70/Signed slides/Lymphocyte,12
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_69/10026924218/Signed slides/Lymphocyte,12
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_12/Signed slides/Smudge cells,12
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_12/Signed slides/Segmented neutrophils,12
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_93/Signed slides/Band neutrophils,12
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_55/Signed slides/Monocyte,12
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_71/Signed slides/Monocyte,12
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_80/10026231691/Signed slides/Smudge cells,12
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_02/Signed slides/Smudge cells,12
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_16/Signed slides/Smudge cells,12
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_97/Signed slides/Erythroblast,11
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_41/Signed slides/Smudge cells,11
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_16/Signed slides/Segmented neutrophils,11
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_53/Signed slides/Segmented neutrophils,11
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_47/Signed slides/Lymphocyte,11
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_25/Signed slides/Promyelocyte,11
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_95/Signed slides/Lymphocyte, variant",11
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_83/Signed slides/Band neutrophils,11
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_91/Signed slides/Lymphocyte,11
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_14/Signed slides/Segmented neutrophils,11
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_81/10026273526/Signed slides/Smudge cells,11
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_73/10027006113/Signed slides/Lymphocyte, variant",11
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_102/Signed slides/Smudge cells,11
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_82/Signed slides/Lymphocyte,11
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_105/Signed slides/Lymphocyte, variant",11
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_82/Signed slides/Segmented neutrophils,11
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_83/Signed slides/Erythroblast,11
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_36/Signed slides/Erythroblast,11
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_40/Signed slides/Blast, no lineage spec",11
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_39/10025983082/Signed slides/Segmented neutrophils,11
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_83/Signed slides/Smudge cells,11
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_84/2019-02-11_1635/Signed slides/Smudge cells,10
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_89/Signed slides/Lymphocyte, variant",10
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_46/Signed slides/Monocyte,10
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_99/Signed slides/Lymphocyte, variant",10
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_42/Signed slides/Monocyte,10
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_82/Signed slides/Myelocyte,10
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_39/10025983082/Signed slides/Monocyte,10
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_64/Signed slides/Erythroblast,10
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_33/Signed slides/Blast, no lineage spec",10
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_99/Signed slides/Blast, no lineage spec",10
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_29/Signed slides/Smudge cells,10
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_56/Signed slides/Blast, no lineage spec",10
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_86/Signed slides/Smudge cells,10
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_84/2019-02-11_2108/Signed slides/Monocyte,10
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_02/Signed slides/Segmented neutrophils,10
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_34/Signed slides/Smudge cells,10
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_35/Signed slides/Metamyelocyte,10
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_02/Signed slides/Blast, no lineage spec",10
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_74/Signed slides/Lymphocyte,10
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_84/2019-02-11_2108/Signed slides/Blast, no lineage spec",10
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_25/Signed slides/Lymphocyte,10
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_30/Signed slides/Segmented neutrophils,9
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_19/Signed slides/Monocyte,9
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_11/Signed slides/Smudge cells,9
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_103/Signed slides/Lymphocyte, variant",9
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_48/Signed slides/Monocyte,9
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_83/Signed slides/Monocyte,9
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_53/Signed slides/Lymphocyte, variant",9
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_82/Signed slides/Smudge cells,9
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_62/Signed slides/Promyelocyte,9
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_60/2018-12-16_2346/Signed slides/Plasma cells,9
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_09/Signed slides/Blast, no lineage spec",9
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_105/Signed slides/Promyelocyte,9
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_75/Signed slides/Giant thrombocyte,9
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_38/Signed slides/Lymphocyte,9
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_35/Signed slides/Band neutrophils,9
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_43/Signed slides/Lymphocyte,9
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_29/Signed slides/Blast, no lineage spec",9
